x,y,z
0,0,20
0,1,15
0,2,17
0,3,26
0,4,24
0,5,44
0,6,38
0,7,20
0,8,21
0,9,20
0,10,21
0,11,2
0,12,6
0,13,13
0,14,20
0,15,22
0,16,15
0,17,4
0,18,33
0,19,41
0,20,45
0,21,20
0,22,20
0,23,27
0,24,28
0,25,13
0,26,16
0,27,40
0,28,20
0,29,3
1,0,0
1,1,15
1,2,0
1,3,16
1,4,13
1,5,24
1,6,21
1,7,25
1,8,6
1,9,21
1,10,50
1,11,21
1,12,23
1,13,6
1,14,20
1,15,11
1,16,35
1,17,23
1,18,34
1,19,44
1,20,33
1,21,5
1,22,8
1,23,6
1,24,28
1,25,0
1,26,18
1,27,22
1,28,14
1,29,21
2,0,3
2,1,0
2,2,12
2,3,12
2,4,30
2,5,27
2,6,16
2,7,10
2,8,0
2,9,23
2,10,33
2,11,22
2,12,0
2,13,0
2,14,22
2,15,25
2,16,25
2,17,37
2,18,48
2,19,50
2,20,39
2,21,16
2,22,20
2,23,11
2,24,12
2,25,11
2,26,12
2,27,16
2,28,24
2,29,19
3,0,17
3,1,10
3,2,4
3,3,39
3,4,25
3,5,10
3,6,0
3,7,3
3,8,28
3,9,26
3,10,26
3,11,0
3,12,0
3,13,0
3,14,26
3,15,35
3,16,38
3,17,22
3,18,25
3,19,46
3,20,50
3,21,32
3,22,5
3,23,7
3,24,1
3,25,3
3,26,25
3,27,31
3,28,15
3,29,22
4,0,19
4,1,27
4,2,19
4,3,16
4,4,14
4,5,9
4,6,23
4,7,22
4,8,14
4,9,35
4,10,47
4,11,19
4,12,7
4,13,2
4,14,43
4,15,35
4,16,38
4,17,3
4,18,18
4,19,34
4,20,21
4,21,20
4,22,1
4,23,24
4,24,39
4,25,25
4,26,39
4,27,33
4,28,5
4,29,18
5,0,40
5,1,44
5,2,29
5,3,22
5,4,36
5,5,13
5,6,19
5,7,24
5,8,25
5,9,36
5,10,36
5,11,24
5,12,11
5,13,37
5,14,36
5,15,36
5,16,37
5,17,39
5,18,0
5,19,18
5,20,34
5,21,19
5,22,19
5,23,30
5,24,32
5,25,45
5,26,45
5,27,8
5,28,8
5,29,6
6,0,34
6,1,38
6,2,27
6,3,37
6,4,29
6,5,40
6,6,29
6,7,21
6,8,0
6,9,8
6,10,37
6,11,27
6,12,27
6,13,40
6,14,38
6,15,36
6,16,35
6,17,38
6,18,7
6,19,0
6,20,11
6,21,24
6,22,20
6,23,19
6,24,42
6,25,35
6,26,50
6,27,36
6,28,2
6,29,8
7,0,20
7,1,38
7,2,36
7,3,18
7,4,23
7,5,27
7,6,24
7,7,20
7,8,16
7,9,18
7,10,23
7,11,9
7,12,0
7,13,38
7,14,36
7,15,36
7,16,37
7,17,37
7,18,39
7,19,39
7,20,9
7,21,20
7,22,34
7,23,21
7,24,10
7,25,31
7,26,46
7,27,37
7,28,20
7,29,14
8,0,0
8,1,8
8,2,16
8,3,13
8,4,9
8,5,30
8,6,26
8,7,32
8,8,29
8,9,29
8,10,23
8,11,15
8,12,22
8,13,40
8,14,39
8,15,38
8,16,41
8,17,36
8,18,34
8,19,1
8,20,0
8,21,14
8,22,20
8,23,4
8,24,8
8,25,5
8,26,50
8,27,22
8,28,23
8,29,9
9,0,1
9,1,9
9,2,0
9,3,0
9,4,0
9,5,14
9,6,18
9,7,42
9,8,37
9,9,42
9,10,35
9,11,27
9,12,16
9,13,39
9,14,43
9,15,36
9,16,36
9,17,21
9,18,37
9,19,20
9,20,25
9,21,19
9,22,23
9,23,7
9,24,11
9,25,22
9,26,21
9,27,21
9,28,14
9,29,1
