x,y,z
0,0,20.0
0,1,43.0
0,2,28.0
0,3,16.0
0,4,20.0
0,5,8.0
0,6,7.0
0,7,20.0
0,8,22.0
0,9,40.0
0,10,19.0
0,11,26.0
0,12,0.0
0,13,13.0
0,14,20.0
0,15,30.0
0,16,21.0
0,17,16.0
0,18,19.0
0,19,20.0
0,20,24.0
0,21,20.0
0,22,4.0
0,23,19.0
0,24,13.0
0,25,4.0
0,26,12.0
0,27,13.0
0,28,20.0
0,29,8.0
1,0,29.0
1,1,33.0
1,2,31.0
1,3,3.0
1,4,11.0
1,5,16.0
1,6,15.0
1,7,29.0
1,8,37.0
1,9,29.0
1,10,38.0
1,11,6.0
1,12,0.0
1,13,8.0
1,14,0.0
1,15,3.0
1,16,18.0
1,17,17.0
1,18,25.0
1,19,17.0
1,20,22.0
1,21,33.0
1,22,14.0
1,23,27.0
1,24,13.0
1,25,26.0
1,26,10.0
1,27,0.0
1,28,12.0
1,29,11.0
2,0,37.0
2,1,44.0
2,2,24.0
2,3,23.0
2,4,13.0
2,5,1.0
2,6,7.0
2,7,14.0
2,8,17.0
2,9,20.0
2,10,15.0
2,11,21.0
2,12,14.0
2,13,9.0
2,14,21.0
2,15,22.0
2,16,32.0
2,17,23.0
2,18,28.0
2,19,39.0
2,20,19.0
2,21,0.0
2,22,14.0
2,23,9.0
2,24,27.0
2,25,28.0
2,26,0.0
2,27,3.0
2,28,0.0
2,29,2.0
3,0,19.0
3,1,41.0
3,2,31.0
3,3,44.0
3,4,9.0
3,5,12.0
3,6,21.0
3,7,24.0
3,8,0.0
3,9,8.0
3,10,15.0
3,11,22.0
3,12,27.0
3,13,8.0
3,14,3.0
3,15,40.0
3,16,24.0
3,17,19.0
3,18,36.0
3,19,28.0
3,20,28.0
3,21,6.0
3,22,0.0
3,23,27.0
3,24,36.0
3,25,15.0
3,26,4.0
3,27,18.0
3,28,17.0
3,29,6.0
4,0,3.0
4,1,10.0
4,2,28.0
4,3,30.0
4,4,19.0
4,5,22.0
4,6,20.0
4,7,21.0
4,8,15.0
4,9,13.0
4,10,7.0
4,11,23.0
4,12,40.0
4,13,13.0
4,14,20.0
4,15,26.0
4,16,23.0
4,17,0.0
4,18,0.0
4,19,10.0
4,20,26.0
4,21,39.0
4,22,18.0
4,23,32.0
4,24,41.0
4,25,11.0
4,26,23.0
4,27,22.0
4,28,24.0
4,29,24.0
5,0,0.0
5,1,0.0
5,2,27.0
5,3,23.0
5,4,18.0
5,5,20.0
5,6,25.0
5,7,40.0
5,8,22.0
5,9,20.0
5,10,30.0
5,11,33.0
5,12,35.0
5,13,13.0
5,14,17.0
5,15,25.0
5,16,9.0
5,17,12.0
5,18,8.0
5,19,22.0
5,20,37.0
5,21,35.0
5,22,29.0
5,23,35.0
5,24,36.0
5,25,7.0
5,26,28.0
5,27,33.0
5,28,39.0
5,29,28.0
6,0,1.0
6,1,30.0
6,2,38.0
6,3,30.0
6,4,27.0
6,5,9.0
6,6,31.0
6,7,37.0
6,8,33.0
6,9,31.0
6,10,22.0
6,11,32.0
6,12,35.0
6,13,25.0
6,14,24.0
6,15,7.0
6,16,17.0
6,17,24.0
6,18,2.0
6,19,33.0
6,20,31.0
6,21,50.0
6,22,8.0
6,23,20.0
6,24,12.0
6,25,32.0
6,26,33.0
6,27,36.0
6,28,29.0
6,29,33.0
7,0,20.0
7,1,30.0
7,2,35.0
7,3,23.0
7,4,10.0
7,5,11.0
7,6,22.0
7,7,20.0
7,8,22.0
7,9,21.0
7,10,26.0
7,11,25.0
7,12,34.0
7,13,24.0
7,14,20.0
7,15,17.0
7,16,34.0
7,17,36.0
7,18,35.0
7,19,36.0
7,20,34.0
7,21,37.0
7,22,10.0
7,23,14.0
7,24,19.0
7,25,36.0
7,26,31.0
7,27,19.0
7,28,20.0
7,29,37.0
8,0,14.0
8,1,41.0
8,2,38.0
8,3,38.0
8,4,21.0
8,5,0.0
8,6,8.0
8,7,19.0
8,8,6.0
8,9,9.0
8,10,16.0
8,11,0.0
8,12,23.0
8,13,23.0
8,14,17.0
8,15,18.0
8,16,36.0
8,17,34.0
8,18,33.0
8,19,34.0
8,20,36.0
8,21,4.0
8,22,0.0
8,23,17.0
8,24,11.0
8,25,37.0
8,26,24.0
8,27,28.0
8,28,3.0
8,29,0.0
9,0,28.0
9,1,27.0
9,2,23.0
9,3,27.0
9,4,21.0
9,5,21.0
9,6,22.0
9,7,28.0
9,8,28.0
9,9,22.0
9,10,13.0
9,11,13.0
9,12,16.0
9,13,25.0
9,14,13.0
9,15,0.0
9,16,36.0
9,17,33.0
9,18,37.0
9,19,39.0
9,20,35.0
9,21,38.0
9,22,15.0
9,23,23.0
9,24,15.0
9,25,37.0
9,26,32.0
9,27,6.0
9,28,3.0
9,29,9.0
10,0,19.0
10,1,13.0
10,2,19.0
10,3,22.0
10,4,23.0
10,5,31.0
10,6,24.0
10,7,11.0
10,8,38.0
10,9,36.0
10,10,35.0
10,11,10.0
10,12,7.0
10,13,34.0
10,14,28.0
10,15,9.0
10,16,36.0
10,17,35.0
10,18,33.0
10,19,38.0
10,20,35.0
10,21,35.0
10,22,40.0
10,23,19.0
10,24,29.0
10,25,18.0
10,26,23.0
10,27,15.0
10,28,18.0
10,29,10.0
11,0,23.0
11,1,12.0
11,2,18.0
11,3,0.0
11,4,23.0
11,5,31.0
11,6,13.0
11,7,8.0
11,8,11.0
11,9,26.0
11,10,31.0
11,11,28.0
11,12,17.0
11,13,27.0
11,14,10.0
11,15,11.0
11,16,36.0
11,17,33.0
11,18,33.0
11,19,36.0
11,20,36.0
11,21,36.0
11,22,39.0
11,23,28.0
11,24,0.0
11,25,19.0
11,26,22.0
11,27,14.0
11,28,22.0
11,29,38.0
12,0,24.0
12,1,30.0
12,2,20.0
12,3,14.0
12,4,9.0
12,5,11.0
12,6,15.0
12,7,0.0
12,8,0.0
12,9,8.0
12,10,33.0
12,11,23.0
12,12,11.0
12,13,14.0
12,14,11.0
12,15,1.0
12,16,6.0
12,17,33.0
12,18,35.0
12,19,35.0
12,20,39.0
12,21,9.0
12,22,23.0
12,23,8.0
12,24,16.0
12,25,2.0
12,26,19.0
12,27,35.0
12,28,47.0
12,29,49.0
13,0,34.0
13,1,13.0
13,2,34.0
13,3,21.0
13,4,17.0
13,5,28.0
13,6,22.0
13,7,10.0
13,8,12.0
13,9,13.0
13,10,7.0
13,11,2.0
13,12,0.0
13,13,8.0
13,14,0.0
13,15,0.0
13,16,19.0
13,17,13.0
13,18,8.0
13,19,37.0
13,20,1.0
13,21,18.0
13,22,28.0
13,23,13.0
