x,y,z
0,0,20
0,1,29
0,2,6
0,3,9
0,4,20
0,5,31
0,6,28
0,7,20
0,8,30
0,9,25
0,10,11
0,11,23
0,12,25
0,13,31
0,14,20
0,15,3
0,16,23
0,17,25
0,18,2
0,19,14
0,20,27
0,21,20
0,22,6
0,23,12
0,24,12
0,25,16
0,26,16
0,27,11
0,28,20
0,29,19
1,0,21
1,1,28
1,2,13
1,3,31
1,4,40
1,5,38
1,6,13
1,7,4
1,8,18
1,9,24
1,10,28
1,11,38
1,12,29
1,13,25
1,14,40
1,15,27
1,16,16
1,17,17
1,18,0
1,19,13
1,20,15
1,21,17
1,22,0
1,23,36
1,24,40
1,25,44
1,26,18
1,27,8
1,28,18
1,29,25
2,0,12
2,1,19
2,2,6
2,3,28
2,4,24
2,5,40
2,6,17
2,7,19
2,8,33
2,9,0
2,10,6
2,11,26
2,12,26
2,13,18
2,14,33
2,15,22
2,16,14
2,17,13
2,18,8
2,19,6
2,20,0
2,21,0
2,22,13
2,23,21
2,24,44
2,25,50
2,26,31
2,27,19
2,28,6
2,29,5
3,0,0
3,1,13
3,2,2
3,3,13
3,4,29
3,5,31
3,6,33
3,7,32
3,8,7
3,9,0
3,10,0
3,11,26
3,12,25
3,13,17
3,14,12
3,15,19
3,16,20
3,17,0
3,18,35
3,19,5
3,20,7
3,21,13
3,22,19
3,23,2
3,24,24
3,25,45
3,26,32
3,27,18
3,28,8
3,29,19
4,0,27
4,1,3
4,2,5
4,3,3
4,4,30
4,5,35
4,6,9
4,7,27
4,8,7
4,9,11
4,10,20
4,11,22
4,12,27
4,13,4
4,14,12
4,15,43
4,16,18
4,17,19
4,18,20
4,19,20
4,20,15
4,21,28
4,22,31
4,23,31
4,24,4
4,25,15
4,26,35
4,27,17
4,28,25
4,29,32
5,0,25
5,1,25
5,2,12
5,3,12
5,4,16
5,5,8
5,6,14
5,7,10
5,8,19
5,9,23
5,10,44
5,11,50
5,12,29
5,13,0
5,14,15
5,15,22
5,16,9
5,17,16
5,18,42
5,19,27
5,20,25
5,21,37
5,22,34
5,23,13
5,24,0
5,25,12
5,26,19
5,27,43
5,28,41
5,29,49
6,0,1
6,1,24
6,2,15
6,3,3
6,4,16
6,5,0
6,6,12
6,7,7
6,8,28
6,9,21
6,10,41
6,11,45
6,12,11
6,13,10
6,14,15
6,15,21
6,16,14
6,17,6
6,18,24
6,19,18
6,20,16
6,21,29
6,22,24
6,23,22
6,24,0
6,25,26
6,26,17
